id,created_at,name,slug,updated_at,url,checksum,companies,logo,platforms
586,1531223638,Spiller,spiller,1651842412,https://www.igdb.com/game_engines/spiller,fa7b702f-d2a0-0dbd-f6bd-84dad400ac86,,,
384,1473107723,CharLib,charlib,1473111003,https://www.igdb.com/game_engines/charlib,3941923f-4af2-1a75-fee6-bfd8b4efbda2,,,
1441,1663846813,Spark,spark,1663851599,https://www.igdb.com/game_engines/spark,07d179c9-6339-817d-8761-6fbd1038a345,[856],0.0,"[3, 6]"
1123,1604192909,Capcom Play System III (CPS-3),capcom-play-system-iii-cps-3,1716341617,https://www.igdb.com/game_engines/capcom-play-system-iii-cps-3,dce933ad-5213-3425-83f0-560753741740,,,
751,1571838150,Visual Basic,visual-basic,1676400301,https://www.igdb.com/game_engines/visual-basic,055c6c98-f74c-86c3-dfa4-28499ee8e01b,,,
1361,1634747151,calico,calico,1714770549,https://www.igdb.com/game_engines/calico,8a0e6b37-b936-cce4-9bd9-9cec9b518d78,,,
429,1484741701,AngularJs,angularjs,1721936715,https://www.igdb.com/game_engines/angularjs,7db6432b-8fa0-6a15-b25d-7a734545b8de,,,
1682,1725649548,Decker,decker,1725649621,https://www.igdb.com/game_engines/decker,02d809fd-8bea-ee54-dd43-01af0a09944d,,,
1326,1630876706,OverWorld,overworld,1630876706,https://www.igdb.com/game_engines/overworld,e95cb60b-82a4-9557-0fbb-984ece9f937b,,,
106,1414932988,ROMU,romu,1725704251,https://www.igdb.com/game_engines/romu,2687ecf9-b84b-dcf9-91bc-575664544dd8,,,
153,1420976905,LyN,lyn,1646637641,https://www.igdb.com/game_engines/lyn,53e42881-2a03-cf14-95cf-13d843e444c4,,,"[5, 6, 9, 12, 20, 37]"
432,1486208703,Phoesion GE,phoesion-ge,1486253699,https://www.igdb.com/game_engines/phoesion-ge,a5f7f1f3-397d-060c-01fd-014ccfab5161,,,
1274,1625053315,WillPlus,willplus,1625056772,https://www.igdb.com/game_engines/willplus,1a39c9a2-c77a-75f5-9bd6-834b03fbfae7,,,
505,1504539595,Spenefett,spenefett,1504544966,https://www.igdb.com/game_engines/spenefett,1f38e2d3-5f94-3730-e39c-9198e77bffe4,,,
582,1530616808,Google Play Services,google-play-services,1551606830,https://www.igdb.com/game_engines/google-play-services,10443be5-45f9-ef33-5ac5-05f8d529b9f0,,,
96,1414668677,SAGA,saga,1414678225,https://www.igdb.com/game_engines/saga,2f643289-2150-caad-c3b5-7def4d301681,,,
101,1414840596,Virtual Theatre,virtual-theatre,1656259168,https://www.igdb.com/game_engines/virtual-theatre,1a26bf20-9f95-8807-82e2-a3dc5f9c7d27,,,
677,1554850338,Warriors engine,warriors-engine,1554878229,https://www.igdb.com/game_engines/warriors-engine,25888a4a-afe1-95a9-8171-3d914dedcbe5,,,
819,1577419024,Ikura GDL,ikura-gdl,1577441276,https://www.igdb.com/game_engines/ikura-gdl,ad66db28-554c-403e-7616-31e2328c05dd,,,
182,1424074751,Enigma engine,enigma-engine,1725841020,https://www.igdb.com/game_engines/enigma-engine,ea12ab65-e7f4-3681-0a57-f38d50dc6360,,,
1439,1663817385,Vital Engine 3,vital-engine-3,1694055973,https://www.igdb.com/game_engines/vital-engine-3,9a06d10d-ebfe-6e79-486d-08b2d3bb7960,,,
410,1480247210,android,android,1682942869,https://www.igdb.com/game_engines/android,9abd8b5a-1f72-23e5-8a16-78eca5274ca5,,,
1061,1597827193,Crimson Engine,crimson-engine,1597879459,https://www.igdb.com/game_engines/crimson-engine,eef1fd7a-6f2f-a632-92c5-a151b4052bcb,,,
