genres,first_release_date,name,slug,itad_id,release_price
[12],2011-06-01,Wizardry: Labyrinth of Lost Souls,wizardry-labyrinth-of-lost-souls,018d937f-0fa1-7068-92d3-5868ad867fe6,14.99
"[8, 9, 31, 32]",2021-09-25,Tandem: A Tale of Shadows,tandem-a-tale-of-shadows,018d937f-4866-7228-8117-e40f56cd1bb5,24.99
"[8, 9, 31, 32]",2013-09-04,Full Bore,full-bore,018d937f-305f-7091-a319-af7944757461,10
"[15, 16, 35]",2012-12-31,Might & Magic: Duel of Champions,might-and-magic-duel-of-champions,018d937e-f0b0-711f-9a7a-d7ae11fa83da,0
"[31, 34]",2013-06-28,Ozmafia!!,ozmafia,018d937f-29b4-7239-8d2c-bbb5a5c51cd7,34.99
"[11, 13, 15, 32]",2016-03-31,Ashes of the Singularity,ashes-of-the-singularity,018d937f-21eb-7054-90ad-e403fd5b8829,49.99
"[13, 15, 35]",2022-01-18,Yu-Gi-Oh! Master Duel,yu-gi-oh-master-duel,018d937f-5c6a-73fb-b7e8-aa4aca41e194,0
"[5, 32, 33]",2017-12-05,Boiling Bolt,boiling-bolt,018d937f-35ec-72c5-bcd5-044b9da598e9,11.99
"[5, 31, 32]",2019-08-13,Vicious Circle,vicious-circle,018d937e-f4dd-7054-8ae6-789f692b7664,19.99
"[8, 9, 31, 32]",2016-06-01,TurnOn,turnon,018d937e-f86c-7396-8438-e76bf997a49d,14.99
"[31, 32]",2015-02-13,Wooden Floor,wooden-floor,018d937f-269b-7001-9132-5e66e2bd24e6,6.99
"[31, 32]",2016-11-23,Araya,araya,018d937f-0671-7044-8cb1-1a0d55b69745,14.99
"[2, 9, 31, 32]",2014-12-02,Lumino City,lumino-city,018d937e-ff10-721f-b912-b846d80ee755,19.99
"[9, 13, 31, 32]",2016-07-21,Bohemian Killing,bohemian-killing,018d937e-fed6-70c7-97ef-70cec66d2b84,16.99
[5],2017-12-14,Gungrave VR,gungrave-vr,018d937f-1737-72b9-be39-269bd2050570,24.99
"[12, 31, 35]",2020-11-17,Fuzz Force: Spook Squad,fuzz-force-spook-squad,018d937f-47a9-7290-8722-54828878bf71,11.99
"[14, 15]",2014-10-02,Front Page Sports Football,front-page-sports-football,018d937e-f9c9-720a-8f66-164570bc1dcc,19.99
"[11, 13, 15, 24]",2014-03-20,Men of War: Assault Squad 2,men-of-war-assault-squad-2,018d937f-0c69-7231-82e4-a6b53bbd75ed,34.99
